0, 0, 350
CreateDYNObject(11491, 2780.799072, 1184.258057, 11.234776, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(971, 2805.598145, 1168.625122, 13.265247, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(971, 2814.313232, 1168.631836, 13.248291, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(971, 2818.323730, 1173.113281, 13.441063, 0.0000, 0.0000, 275.7752); //
CreateDYNObject(971, 2817.399414, 1181.959229, 13.466066, 0.0000, 0.0000, 275.7752); //
CreateDYNObject(971, 2816.689941, 1190.509888, 13.563606, 0.0000, 0.0000, 275.7752); //
CreateDYNObject(971, 2814.823486, 1208.132935, 13.449350, 0.0000, 0.0000, 275.7752); //
CreateDYNObject(971, 2815.754150, 1199.221802, 13.493370, 0.0000, 0.0000, 275.7752); //
CreateDYNObject(971, 2810.025391, 1212.827026, 13.493340, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2801.551270, 1213.296875, 13.499252, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2792.759277, 1213.904907, 13.590235, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2783.751221, 1214.282837, 13.474625, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2774.878174, 1214.703369, 13.423752, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2766.126953, 1215.090698, 13.368465, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2757.255127, 1215.561401, 12.252632, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2750.551758, 1215.870361, 10.641075, 0.0000, 0.0000, 176.9400); //
CreateDYNObject(971, 2746.223389, 1211.730835, 10.722960, 0.0000, 0.0000, 270.6186); //
CreateDYNObject(971, 2741.965088, 1206.096069, 9.477125, 0.0000, 0.0000, 196.7070); //
CreateDYNObject(971, 2737.634033, 1200.411133, 9.468132, 0.0000, 0.0000, 268.8997); //
CreateDYNObject(16779, 2772.342773, 1184.373169, 18.538376, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(14806, 2772.786865, 1180.229614, 12.409830, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(1762, 2772.144043, 1182.893311, 11.331640, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1738, 2766.671387, 1188.527100, 11.978438, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1778, 2771.428467, 1188.520752, 11.321990, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(1788, 2772.706299, 1180.297852, 13.380043, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1792, 2772.044678, 1189.179565, 13.207349, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1971, 2775.435547, 1188.754028, 14.250580, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2003, 2773.433594, 1188.477783, 11.786693, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2005, 2773.457275, 1188.401367, 11.701967, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2099, 2765.479248, 1186.170654, 11.322217, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(2130, 2765.964355, 1181.214966, 11.323523, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(2131, 2770.133545, 1180.009644, 11.322769, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(2135, 2768.065430, 1180.133179, 11.322769, 0.0000, 0.0000, 179.9996); //
CreateDYNObject(2149, 2765.963379, 1181.208008, 12.524673, 0.0000, 0.0000, 101.2523); //
CreateDYNObject(2344, 2772.037354, 1182.807983, 12.008877, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2833, 2772.237549, 1181.035645, 11.323382, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(925, 2801.556396, 1207.383789, 10.960342, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(930, 2799.692627, 1207.933350, 10.374313, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(964, 2797.186279, 1207.905518, 9.898438, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(964, 2795.695068, 1208.139771, 9.893582, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1271, 2796.252441, 1207.969116, 11.209321, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(1362, 2781.890137, 1192.700684, 10.438127, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2041, 2801.639160, 1206.817505, 11.299718, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2042, 2801.389648, 1206.842529, 10.112041, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2359, 2800.986328, 1206.909058, 12.241424, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(2358, 2802.086670, 1207.011719, 12.147674, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3576, 2805.927002, 1207.761841, 11.391110, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3577, 2809.754639, 1204.678345, 10.680944, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3632, 2807.602295, 1205.613647, 10.373240, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3796, 2792.483643, 1208.898071, 9.886620, 0.0000, 0.0000, 89.9994); //
CreateDYNObject(3633, 2793.493164, 1209.795288, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2792.208740, 1209.871704, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3632, 2791.201904, 1210.140381, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3632, 2791.248047, 1209.531006, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2791.575928, 1208.526123, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2792.878662, 1208.490356, 10.462984, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2791.576172, 1207.894409, 10.469753, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2792.870605, 1207.844360, 10.469767, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3633, 2793.506836, 1208.494995, 10.471714, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(3632, 2793.826904, 1207.495117, 10.460203, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(13025, 2781.352783, 1207.807495, 13.019529, 0.0000, 0.0000, 0.0000); //
CreateDYNObject(971, 2737.443848, 1181.432861, 9.480418, 0.0000, 0.0000, 270.6186); //
CreateDYNObject(971, 2737.529785, 1195.809570, 9.452420, 0.0000, 0.0000, 268.8997); //
CreateDYNObject(17037, 2756.734131, 1139.778198, 11.275602, 0.0000, 0.0000, 224.9997); //
CreateDYNObject(17037, 2761.974365, 1134.524902, 11.286802, 0.0000, 0.0000, 224.9997); //
